List of Valid Insurance Brokers as on 15.05.2021,,,,,,,,,,
Sl No,"Certificate of 
Registration No.",,Name of the Broker,Address,Phone No,Category of Broker,Principal Officer,Validity of license,,PO E-Maild Id
197,397,,Prowess Insurance Brokers Pvt. Ltd.,"401, Charkop Sai Shrishti CHS. Ltd Charkop, RSC 25, Sector -VIII, Opp. MTNL  Kandivali West KANDIVALI WEST MUMBAI 400067",9870381000,Direct Broker (Life & General),KAILASH PATHAK,22-Sep-2018,21-Sep-2021,po_prowess@prowessbrokers.com
198,398,,IIT Insurance Broking and Risk Management  Pvt Ltd,"14 Rajabahadur Mansion, 2nd Floor, 28 Bomaby Samachar Marg  Fort, Mumbai MUMBAI MUMBAI 400001",9664600650,Direct Broker (Life & General),Tosheef Alam,20-Oct-2018,19-Oct-2021,po_iitbroker@iitinsurance.com
199,399,,Am-ex Insurance Brokers (India) Pvt Ltd,33/1885(B) 5(a) NH Byepass Vennala PO   KOCHI ERNAKULAM 682028,9847033205,Direct Broker (Life & General),Abraham C John,04-Feb-2019,03-Feb-2022,amexinsurancebrokers@gmail.com
200,400,,Skylite Direct Insurance Brokers Pvt. Ltd,"317, Toral Complex Jawahar Road,  Near Galaxy Hotel, Rajkot RAJKOT RAJKOT 360001",2812225219,Direct Broker (Life & General),DIVYANGI H.DESAI,28-Apr-2019,27-Apr-2022,SKYLITE@GROUPDESAI.COM
201,401,,Risk Care Insurance Broking Services Pvt Ltd,"Unit No.708, 7th Floor, Hubtown Viva, Shankarwadi,  Western Express HIghway, JOGESHWARI EAST MUMBAI 400060",8600290001,Composite Broker,Aseem Goel,29-Apr-2019,28-Apr-2022,po_riskcare@riskcare.co.in
202,402,,Tarjani Insurance Broking Pvt Ltd,3rd floor Rama Bhavan complex  Kodialbail MANGALORE DAKSHINA KANNADA 575003,9448026900,Direct Broker (Life & General),H Prabhakar Shetty,03-May-2019,02-May-2022,po_tarjani@tarjani.com
203,403,,NetAmbit Insurance Broking India Ltd,90/31B First Floor  Malviya Nagar NEW DELHI SOUTH DELHI 110017,8826966233,Direct Broker (Life & General),Pradeep Kumar Chaudhary,28-May-2019,27-May-2022,pradeepchaudhary@netambit.in
204,404,,Harmony Insurance Broking Pvt. Ltd.,"604, Neelyog Square, opp Ghatkopar Railway Station  Ghatkopar East MUMBAI MUMBAI 400077",9820207868,Direct Broker (General),BHAVIN PAREKH,03-Aug-2019,02-Aug-2022,bhavin@harmonyinsurance.co.in
205,407,,NJ Insurance Brokers Pvt Ltd,"BLOCK NO.502, 2ND FLOOR, B TOWER, UDHNA UDYOGNAGAR SANGH COMMERCIAL COMPLE,  CENTRAL ROAD NO.10 UDHNA SURAT SURAT 394210",2614025000,Direct Broker (Life & General),HOZEIFA RASULJEE,01-Mar-2020,28-Feb-2023,po_njib@njgroup.in
206,410,,UIB Insurance Brokers (India) Pvt Ltd,201 Hubtown Solaris N S Phadke Road Andheri East Near East West Flyover Andheri east  Mumbai MUMBAI MUMBAI 400069,2261539000,Composite Broker,NAVEEN JETLY,30-Mar-2020,29-Mar-2023,po_uib@uibindia.com
207,413,,Damika Insurance Broking Co. Pvt. Ltd.,"S. No 49, Industry House  Opp Kalyani Steels Ltd PUNE PUNE 411036",2026725000,Direct Broker (General),Tushar K Bachal,07-Jul-2020,06-Jul-2023,po_damika@yahoo.in
208,415,,Manas Insurance Brokers Pvt Ltd,"B 510, KNOX PLAZA NEXT TO HOTEL HOMETEL  OFF LINK ROAD, NEAR MIND SPACE MALAD WEST MUMBAI 400064",9821045735,Direct Broker (Life & General),SANJU NANDWANI,18-Jul-2020,17-Jul-2023,po_manasinsurancebrokers@rediffmail.com
209,416,,Securus Insurance Brokers (India ) Pvt Ltd,"ND FLOOR,THOMSUN ANNEX ACHUTHA WARRIER LANE  MG ROAD ERNAKULAM ERNAKULAM 682035",9995561911,Direct Broker (General),SABARINATH GOVINDAN NAIR,01-Aug-2020,31-Jul-2023,po_securus@securus.in
210,417,,Phoenix General Insurance Brokers Pvt Ltd,"Flat No 2,OM Bungalow, 24/2 Erandawana, Swapna Mandir Society,  Bamboo Gully,Pune-411004. PUNE PUNE 411004",2025448900,Direct Broker (General),Shashikant C Wakankar,11-Aug-2020,10-Aug-2023,phoenixgeneralinsurance@gmail.com
211,418,,Sivana Insurance Brokers Pvt Ltd,405 4th Floor Surya Kiran Building 19 Kasturba Gandhi Marg       110001,9990937333,Direct Broker (Life & General),Puneet Chandra,16-Aug-2020,15-Aug-2023,principalofficer@sivanainsurance.com
212,421,,IRC Insurance Broking Services Pvt Ltd,"IRC HOUSE, 1, SUNYAT SEN STREET, KOLKATA-700 012. NIL  NIL KOLKATA KOLKATA 700012",8274953745,Direct Broker (General),AKHILESH   CHATTERJEE,15-Sep-2020,14-Sep-2023,po_ircbroking@rediffmail.com
213,423,,Mainland Insurance Brokers Pvt Ltd,33A Sunder Nagar market  Sunder nagar New delhi NEW DELHI CENTRAL DELHI 110003,9839057098,Direct Broker (Life & General),SHIVANI GUPTA,18-Nov-2020,17-Nov-2023,PO_MAINLAND@MAINLANDINSURANCE.CO.IN
214,424,,Brilliant Insurance Broking Services Pvt Ltd,6-3-1099/1/8 ADITYA LANDMARK APARTMENTS APT 601  SOMAJIGUDA HYDERABAD HYDERABAD 500082,9440534021,Direct Broker (Life & General),P S R Murty,25-Nov-2020,24-Nov-2023,po_bibs27@yahoo.com
215,425,,SecureNow Insurance Broker Pvt Ltd,C-4/4 Safdarjung Development Area   NEW DELHI SOUTH DELHI 110016,9811158553,Direct Broker (Life & General),Abhishek Bondia,02-Dec-2020,01-Dec-2023,po_sn@securenow.in
216,427,,Sushil Insurance Brokers Pvt Ltd,12 HOMJI STREET FORT  MUMBAI MUMBAI MUMBAI 400001,2240936000,Direct Broker (Life & General),VATSAL SUSHIL SHAH,19-Dec-2020,18-Dec-2023,po_sushilinsurance@sushilfinance.com
217,428,,Maruti Suzuki Insurance Broking Private Limited,"PLOT NO. 1 NELSON MANDELA ROAD, VASANT KUNJ  NEW DELHI NEW DELHI SOUTH DELHI 110070",1146781101,Direct Broker (General),SURENDRA SRIVASTAVA,02-Feb-2021,01-Feb-2024,PO_MIBPL@mibpl.co.in
218,429,,Capitalsquare Insurance Brokers Pvt Ltd,"209, AARPEE CENTRE, MIDC ROAD NO. 11,  ANDHERI (EAST), JOGESHWARI EAST MUMBAI 400093",9870246024,Direct Broker (Life & General),Geeta Manocha,16-Feb-2021,15-Feb-2024,po_csibpl@capitalsquare.in
219,430,,Icare Insurance Broking Services Pvt Ltd,"B-11-12 Anjani Complex Parera Hill Road  chakala, Andheri East JOGESHWARI EAST MUMBAI 400099",9324969148,Direct Broker (Life & General),Rakesh Ghosh,02-Apr-2021,01-Apr-2024,po_icare@icareinsurance.co.in
220,431,,Navnit Insurance Broking Pvt. Ltd.,"C WING WATERFORD BUILDING C D BURFIWALA ROAD,  ANDHERI WEST MUMBAI MUMBAI 400058",9820624582,Composite Broker,RAMESH BHISE,11-Apr-2021,10-Apr-2024,ramesh.bhise@navnitinsurance.com
221,432,,BimaGenie Insurance Broking Pvt. Ltd.,1ST STREET TANSI NAGAR  VELACHERRY CHENNAI CHENNAI 600042,0442106176,Direct Broker (Life & General),"Ciby Varghese, MD&PO",27-Apr-2021,26-Apr-2024,ciby@bimagenie.com
222,433,,Zeal Direct & Reinsurance Broking Services Pvt. Ltd.,Old No 55 New no 74 1st avenue indira nagar  adyar chennai CHENNAI CHENNAI 600020,9841427038,Composite Broker,A NATARAJA MURTHI,21-May-2021,20-May-2024,po_zeal@zealinsurance.com
223,434,,Velocity Insurance Broking Services Private Limited,3rd Floor Maker tower  Beside gopalpura flyover JAIPUR JAIPUR 302015,9001111611,Direct Broker (Life & General),ABHISHEK TIWARI,21-May-2021,20-May-2024,po_auibs@velociti.in
224,435,,Samay Insurance Brokers Pvt. Ltd.,"Office No B-301/302 3rd Floor, H Kantilal Compound , K A Road Sakinaka  Kurla West ,Opp Logitech Park MUMBAI MUMBAI 400072",9820058151,Direct Broker (Life & General),Mayank A Mazmudar,10-Jul-2018,09-Jul-2021,mayank@samayinsurance.com
225,436,,Leads Insurance Brokers Pvt. Ltd.,1609-1610 WTT TOWER  SECTOR-16 NOIDA GAUTAM BUDDHA NAGAR 201301,+91-0120-457-3110,Direct Broker (Life & General),Aditya Khandelwal,31-Jul-2018,30-Jul-2021,PO_leads@ensuredfuture.co.in
226,437,,CENTCART INSURANCE BROKING SERVICES PRIVATE LIMITED,"6-2-46 Moin Court  A C Guards, Masabtank HYDERABAD HYDERABAD 500004",7799882929,Direct Broker (Life & General),Varun Pandey,31-Jul-2018,30-Jul-2021,po_coretree@coretree.com
227,438,,Makhathi Insurance Broker Pvt. Ltd.,MAKHATHI INSURANCE A35  KANNAN NAGAR THANJAVUR THANJAVUR 613007,9345798951,Direct Broker (General),B MEENAKSHISUNDARAM,03-Sep-2018,02-Sep-2021,ssekarinsurance@gmail.com
228,442,,Privity Insurance Brokers Pvt. Ltd.,"Privity Insurance Brokers D/No.68/1878,Ist floor,JMV Towers  Deepam Lane,Market Road,682018 KOCHI ERNAKULAM 682018",9562085911,Direct Broker (Life & General),R Sukumaran Nair,26-Oct-2018,25-Oct-2021,po_privity@privityinsurance.com
229,443,,PlatinumOne Insurance Broking Pvt. Ltd.,"Unit No- 907, Lodha Supremus II RoadNo -22,Wagle Estate,  Thane West THANE THANE 400604",9820347434,Direct Broker (Life & General),MANOJ SAXENA,26-Oct-2018,25-Oct-2021,ratul.lahiri@platinumone.in
230,444,,Fund Tree Insurance Brokers Pvt. Ltd.,"UNIT 4 PLOT 271  SECTOR 28, VASHI NEW MUMBAI THANE 400703",,Direct Broker (Life & General),B N MISHRA,29-Oct-2018,28-Oct-2021,po_fundtree@fundtreeindia.com
231,446,,Unilight Insurance Brokers Pvt. Ltd.,"Cama Chambers, 1st Floor, 23 Nagindas Master Road, Fort   MUMBAI MUMBAI 400027",9820177956,Direct Broker (Life & General),Mr. Jeegar Shah,13-Mar-2020,06-Jan-2022,jeegar.shah@unilight.in
232,447,,HII Insurance Broking Service Pvt. Ltd.,"Flat No.354 Sector-9  Pocket-1, Dwarka NEW DELHI SOUTH WEST DELHI 110075",9920932437,Direct Broker (Life & General),Srinivasan Mahadevan,14-Feb-2019,13-Feb-2022,po_hii@hii.co.in
233,450,,GreenLife Insurance Broking Pvt. Ltd.,A-4/B 1st Floor Rishtech Parl  Street No 360 NEW TOWN NORTH 24 PARGANAS 700156,9873078595,Direct Broker (Life & General),SHAHID ALI,27-May-2019,26-May-2022,po_gibl@gibl.in
234,451,,Nearby Insurance Broking Services Private Limited,215-216 Bonanza B Wing Sahar Plaza Andheri Kurla Road  JB Nagar Andheri East MUMBAI MUMBAI 400059,9820347651,Direct Broker (Life & General),MURALI KRISHNAN IYER,24-Jun-2019,23-Jun-2022,murali.iyer@wecareinsurance.in
235,453,,Sarvpriya Insurance Brokers Pvt. Ltd.,6-E KITCHLU NAGAR  LUDHIANA LUDHIANA LUDHIANA 141001,9855014357,Direct Broker (Life & General),NEELAM BISHT,15-Jul-2019,14-Jul-2022,sarvpriyainsurance@rediffmail.com
236,454,,Profins Insurance Broking Pvt. Ltd.,FLAT # 1 NAVAGRAHA APARTMENTS DOOR # 47 OLIVER ROAD  MYLAPORE CHENNAI CITY CORPORATION CHENNAI 600004,4442694411,Direct Broker (General),S. BHASKAR,31-Jul-2019,30-Jul-2022,po_pro@profins.in
237,455,,AB Insurance Brokers Pvt. Ltd.,Globsyn Towers Block EP GP  5th floor Salt Lake KOLKATA KOLKATA 700091,7605054677,Direct Broker (Life & General),Anil Kumar Sarda,06-Aug-2019,05-Aug-2022,po_ab@abibpl.com
238,456,,SLK Bima Brokers Pvt. Ltd.,26/18 East Patel Ngar  New Delhi DELHI CENTRAL DELHI 110008,9212380846,Direct Broker (General),S.C. SHARMA,06-Aug-2019,05-Aug-2022, po_slkbimabrokers@yahoo.com
239,458,,Sri Prathinik Insurance Broking Pvt. Ltd.,"Flat no: 102, Sri Nidhi Nest, Plot No: 18, Kondapur Kondapur  Hyderabad HYDERABAD HYDERABAD 500084",8008819090,Direct Broker (Life & General),Soma Sekhar Mantha,26-Aug-2019,25-Aug-2022,po@sriprathinik.com
240,459,,Muthoot Insurance Brokers Pvt. Ltd.,"Muthoot Insurance Brokers Pvt. Ltd.,3rd Floor, Muthoot Chambers, Banerji R ad, Ernakulam - 682018       ",,Direct Broker (Life & General),SURESH K,02-Sep-2019,01-Sep-2022,principalofficer@muthootgroup.com
241,460,,Zenmoney Insurance Broking Services Pvt. Ltd.,"-3-788/32, 3rd floor Vamsee Estates, Opp. Chandana Brothers,  Ameerpet, Hyderabad,     500016",1234567891,Direct Broker (Life & General),RAMU KANDI-DIRECTOR,02-Sep-2019,01-Sep-2022,po_zmib@zenmoney.com
242,461,,Abhivridhi Insurance Brokers Pvt. Ltd.,"02,Ambika Apartments Plot No.06,S.No.8/15,Behind BSNL Office  Erandwana PUNE PUNE 411004",8805972270,Direct Broker (General),Sundaram Venkatavaradan,06-Sep-2019,05-Sep-2022,po_abhi@abhivridhi.com
243,462,,Aspire Insurance Brokers Pvt. Ltd.,"Unit No.22 & 23, ‘A’, Building, 4th Floor  Hermes Kunj, Mangaldas Road. PUNE PUNE 411001",9702054840,Composite Broker,Satish Deshpande,04-Oct-2019,03-Oct-2022,sdeshpande@aspirebrokers.in
244,463,,Vizza Insurance Broking Services P.Ltd,GROUND FLOOR G-A SRIDEV APARTMENTS CIT NAGAR 1ST MAIN RD  NANADANAM INDIA TAMIL NADU CHENNAI CHENNAI 600035,9962502711,Direct Broker (Life & General),G.P.RANGANATHAN,09-Oct-2019,08-Oct-2022,po_vizzainsbroker@vizzafin.com
245,464,,Itus Insurance Brokers Pvt. Ltd.,"No.407A to 409, 4th Floor, My Home Tycoon, Block-A, Kundanbagh, Begumpet,  Hyderabad HYDERABAD HYDERABAD 500016",9848125230,Direct Broker (Life & General),K Madhusudhana Sastry,23-Oct-2019,22-Oct-2022,po@itus.co.in
246,465,,Vibhuti Insurance Brokers Pvt. Ltd.,502 Cosmos Plaza J P Road  Andheri West MUMBAI MUMBAI 400053,9821130967,Direct Broker (Life & General),Janak Kantilal Bhagat,06-Nov-2019,05-Nov-2022,admin@vibhutiinsurance.com
247,466,,Muthoot Risk Insurance and  Broking Services Pvt. Ltd.,"39/1,2nd Floor, 14th Main 33rd Cross,4th T Block  Jaya Nagar BANGALORE SOUTH BANGALORE 560041",8095586558,Direct Broker (Life & General),SRIRAM KUMAR,08-Nov-2019,07-Nov-2022,po_mribs@muthootinsurance.com
248,469,,APAC Insurance Broking Services (I) Private Ltd.,"510, 5YH FLOOR PP TOWER  NETAJI SUBAHSH PLACE,PITAMPURA PITAMPURA II NORTH WEST DELHI 110034",9811101247,Direct Broker (Life & General),Rohit Khandelwal,11-Dec-2019,10-Dec-2022,info@apacinsurance.in
249,470,,Ntrust Insurance Broking Services Private Limited,"6-3-652, VI -1 Dhruvatara Apartments Somajiguda   HYDERABAD HYDERABAD 500082",9676111112,Composite Broker,ISH KUMAR,11-Dec-2019,10-Dec-2022,sailaja@ntrust.co.in
250,471,,Prime India Insurance Brokers Pvt. Ltd.,A 602 6th Level MarathonNextGen Innova  G.K.Marg Lower Parel West MUMBAI MUMBAI 400013,2248818444,Direct Broker (General),PUSHKARAJ SHETE,17-Dec-2019,16-Dec-2022,pushkaraj@primeindia.co.in
251,472,,NZ Insurance Brokers Pvt. Ltd.,"SCO  61 , FIRST FLOOR SECTOR 26  CHANDIGARH CHANDIGARH CHANDIGARH 160019",9899391910,Direct Broker (Life & General),R P KAUSHIK,18-Dec-2019,17-Dec-2022,po_nzibpl@nzibpl.com
252,475,,Emerge Insurance Borker and Consultancy Services Private Limited,"104, Mahinder Chambers, W.T.Patil Marg, Opposite Dukes Factory Chmebur , Mumbai  Maharashtra     400071",2225216707,Composite Broker,Jayesh Rajdev,26-Dec-2019,25-Dec-2022,po_emergeinsurance@yahoo.com
253,476,,Trustline Insurance Brokers Pvt. Ltd.,85 1ST FLLOR NAMBERDAR ESTATE TAIMOOR NAGAR  NEW FRIENDS COLONY NEW DELHI SOUTH DELHI 110025,9717920515,Direct Broker (Life & General),R RANGANATHAN IYER,27-Dec-2019,26-Dec-2022,trustlineibpl@gmail.com
254,477,,Technopolis Insurance Brokers Pvt. Ltd.,113-115 CREATIVE CHAMBERS KANAK ROAD  BEHIND ST BUS STAND RAJKOT RAJKOT 360001,7600056050,Direct Broker (General),SWADIA HARENDRA A,27-Dec-2019,26-Dec-2022,technopolisbrokers@gmail.com
255,478,,Coverfox Insurance Broking Pvt. Ltd.,"B2 601, Boomerang Chandivali Farm Road  Powai, Andheri (East) MUMBAI MUMBAI 400072",9867324348,Direct Broker (Life & General),Khushboo Mehta,27-Dec-2019,26-Dec-2022,PO_COVERFOX@COVERFOX.COM
256,479,,Review Insurance Brokers Pvt. Ltd.,"Gala No. 28, First Floor, Om Anand Industrial Estate, Raghunath Nagar, M. S. Road,  Near Audi Service Centre, THANE THANE 400604",9821006923,Direct Broker (Life & General),Anil Gangwani,13-Jan-2020,12-Jan-2023,po_review@outlook.com
257,481,,Antworks Insurance Broking & Risk Consulting Pvt. Ltd.,H.N.589 Sector 15 A  Faridabad FARIDABAD FARIDABAD 121007,+91-9810701127,Direct Broker (Life & General),Bharti Kapur,24-Feb-2020,23-Feb-2023,bhartikapur@antworksinsurancebroking.com
258,482,,IRM Insurance Brokers Pvt. Ltd.,"C-905 TRADE WORLD, KAMLA MILL COMPOUND SENAPATI BAPAT MARG LOWER PAREL WEST  LOWER PAREL WEST MUMBAI MUMBAI 400013",9702204043,Composite Broker,Chandan Shankerlal Bhartia,05-Mar-2020,04-Mar-2023,po_irm@irminsurance.in
259,483,,DIS INSURANCE BROKING  PRIVATE LIMITED,3-6-69/306 FLAT NO.306  VENKATRAMANA TOWERS HYDERABAD HYDERABAD 500029,9666397353,Direct Broker (Life & General),K V Dhananjay,20-Mar-2020,19-Mar-2023,prinicipalofficer@disbroking.com
260,484,,GVR Insurance Brokers Pvt. Ltd.,"Plot No.25/A, MLA's Colony Road No.12, Banjara Hills  Hyderabad HYDERABAD HYDERABAD 500034",9393934899,Direct Broker (Life & General),D.SURESH BABU,25-Mar-2020,24-Mar-2023,dsureshbabu@yahoo.com
261,485,,Magnum Insurance Broking Pvt. Ltd.,"201,USHA COMPLEX 345 KINGSWAY  NAGPUR NAGPUR NAGPUR 440001",9422145820,Direct Broker (Life & General),DEEPAK DINKER KILLEDAR,25-Aug-2020,24-Mar-2023,po_mib@magnuminsurance.in
262,486,,Add Value Insurance Broker Pvt. Ltd.,"Add Value Insurance Broker Pvt Ltd Hemkunt Tower  98,Office No-403 SOUTH DELHI SOUTH DELHI 110019",9710774501,Direct Broker (Life & General),Aman Garg,01-Apr-2020,31-Mar-2023,po_addvalue@addvalueinsurance.com
263,487,,Invictus Insurance Broking Services Pvt. Ltd.,"Cosmos Mary park, 116/B Kolbad  Thane (West) THANE THANE 400601",9833248203,Direct Broker (Life & General),VILAS D GANDRE,03-Apr-2020,02-Apr-2023,po@invictusinsure.com
264,488,,Investacc Insurance Brokers Pvt. Ltd.,"B918, SAMARTHA AISHWARYA BUILDING. LOKHANDWALA  ANDERI JOGESHWARI WEST MUMBAI 400053",9004045676,Direct Broker (Life & General),PREMANANDNAIR,05-May-2020,04-May-2023,hitesh.lakhani@investacc.co.in
265,489,,Antic Insurance Brokers & Risk Management Services  Pvt. Ltd.,303 University Plaza Near Rasranjan  Vijay Cross Road AHMEDABAD AHMEDABAD 380009,9427026967,Direct Broker (General),O R Nambiar,05-May-2020,04-May-2023,contactus@anticinsurance.in
266,490,,Aarvi Insurance Brokers Pvt. Ltd.,618 Arun Chamber Next to Ac Market Tardeo Road  Tardeo Mumbai MUMBAI MUMBAI 400034,9819509004,Direct Broker (General),RADHIKA SHAH,26-May-2020,25-May-2023,aarvi.2008@gmail.com
267,491,,R K Global Insurance Brokers Ltd.,Flat No 5 Sagar Apartment  6 Tilak Marg New Delhi NEW DELHI NEW DELHI 110001,9910380029,Direct Broker (Life & General),Khamesh Kumar,16-Jun-2020,15-Jun-2023,kgupta@rkglobal.in
268,492,,Savefin Insurance Brokers Pvt. Ltd.,163 MAHATMA GANDHI ROAD BURRABAZAR   CALCUTTA CALCUTTA 700007,9831009102,Direct Broker (General),PRIYANKA KAPOOR,26-Jun-2020,25-Jun-2023,po_sfib@savefin.com
269,493,,Ensureti Insurance Broking Pvt. Ltd.,"1st Floor, T-1, 7th Street, Dr Vikram Sarabhai Instronics Estate  Thiruvanmiyur CHENNAI CHENNAI 600041",9840490831,Direct Broker (Life & General),L Srikanth,10-Jul-2020,09-Jul-2023,SACHIN.GUPTA@ENSURETI.COM
270,494,,Unilight Reinsurance Brokers Pvt. Ltd.,CAMA CHAMBERS 1ST FLOOR 23 NAGINDAS MASTER ROAD  FORT MUMBAI MUMBAI 400023,9819624449,Reinsurance Broker,Bhaw Dutt,18-Jul-2020,17-Jul-2023,po_unilightre@unilightre.in
271,495,,Heritage Insurance Brokers Pvt. Ltd.,THREE MCLEOD HOUSE  NETAJI SUBHAS ROAD CALCUTTA CALCUTTA 700001,9831037060,Composite Broker,CHANDAN SAHA,08-Aug-2020,07-Aug-2023,po_heritage@bajoria.in
272,496,,Kommineni Insurance Brokers Pvt. Ltd.,"8-3-1021/1 Plot No.24, Krishna Vihar  First Floor HDFC Bank Lane HYDERABAD HYDERABAD 500073",9848049657,Direct Broker (Life & General),Bhaskara Rao Samudrala,09-Sep-2020,08-Sep-2023,po@kibpl.com
273,499,,Atlas Insurance Brokers (P) Ltd.,1-1-782/B/5 Gandhi Nagar  Hyderabad HYDERABAD HYDERABAD 500080,9703442103,Direct Broker (Life & General),SSR.MURTY,10-Oct-2020,09-Oct-2023,atlasinsurancehyd@gmail.com
274,500,,Signature Insurance Brokers Pvt. Ltd.,D 275 Second Floor  Anand Vihar DELHI EAST EAST DELHI 110092,9015574006,Direct Broker (Life & General),Rajan Gupta,10-Dec-2020,17-Oct-2023,po_sign@signaturebrokers.in
275,501,,Gennext Insurance Brokers Pvt. Ltd.,"306,Sears Tower ,Gulbai Tekra, Off.C.G.Road,  Ahmedabad - 380006 AHMEDABAD AHMEDABAD 380006",9979868714,Direct Broker (Life & General),SHIVRAJSINH BAIS,20-Nov-2020,19-Nov-2023,shivraj@gennextinsurance.com
276,502,,D.A.Y. Insurance Broker Pvt. Ltd. ,DSM059 DLF TOWER  SHIVAJI MARG DELHI NORTH WEST DELHI 110015,1147444111,Direct Broker (Life & General),SHALLY GUPTA,20-Nov-2020,19-Nov-2023,amar.gupta@dayibpl.com
277,503,,Excel Insurance Broking Pvt. Ltd.,"No.1002 Best Sky Tower  Netaji Subhash Place, Pitampra NEW DELHI NEW DELHI 100034",1145063675,Direct Broker (Life & General),LOVIKA BABBAR,20-Nov-2020,19-Nov-2023,lovika@excelinsurancebroking.com
278,504,,Siddharth Insurance Brokers Pvt. Ltd.,plot no 93 pocket A-3  sector -3 PITAMPURA II NORTH WEST DELHI 110085,9999675887,Direct Broker (General),EKTA DADU,20-Nov-2020,19-Nov-2023,sibpl11@gmail.com
279,505,,D2C Insurance Broking Pvt. Ltd.,"2nd Floor, C-67, DDA Shed Okhla Phase - 1  Delhi -110020 NEW DELHI NEW DELHI 110020",8447017100,Direct Broker (Life & General),Harinder Pal Singh Chugh,27-Nov-2020,26-Nov-2023,indraneel@renewbuy.com
280,506,,Aequitas Insurance Brokers Pvt. Ltd.,"TODI MANSION, 7TH FLOOR, SUITE NO - 720 P-15 INDIA EXCHANGE PLACE EXTENSION,   KOLKATA KOLKATA 700073",9836400855,Direct Broker (Life & General),SHUBHAM KAUSHIK,09-Dec-2020,08-Dec-2023,po_aibpl@aequitasinsurance.com
281,507,,Sarsa Insurance Brokers Pvt. Ltd.,"70, GROUND FLOOR GANPATI PLAZA  M I ROAD JAIPUR JAIPUR 302001",01414911112,Direct Broker (Life & General),MEGHA KHANDELWAL,24-Dec-2020,23-Dec-2023,po_sarsa@sarsainsurance.com
282,508,,Real Insurance Brokers Pvt. Ltd.,"1st floor,J.K complex Ramdayalu Nagar Road  Muzaffarpur MUZAFFARPUR MUZAFFARPUR 842002",9431813129,Direct Broker (General),INDRADEO PRASAD SINGH,24-Dec-2020,23-Dec-2023,realinsurancebrokerspvtltd@gmail.com
283,509,,Right Horizons Insurance Broking Services Pvt. Ltd.,no 6 right horizons insurance broking services private limited arekere  bangalore BANGALORE BANGALORE 560076,9980289155,Direct Broker (Life & General),Padmalochani,05-Jan-2021,04-Jan-2024,PRINCIPALOFFICER@RIGHTHORIZONS.COM
284,510,,Infina Insurance Broking Pvt. Ltd.,1 D/E MITTAL CHAMBERS NARIMAN POINT  MUMBAI MUMBAI MUMBAI 400021,9820236399,Direct Broker (Life & General),MIHAS SETALVAD,09-Jan-2021,08-Jan-2024,po_infina@infinainsure.com
285,511,,Intact Insurance Brokers Pvt. Ltd.,OFFICE NO 1003 10TH FLOOR MAHALAY COMPLEX OPP HOTEL PRESIDENT  OFF C G ROAD SWASTIK CROSS ROAD AHMEDABAD AHMEDABAD 380009,7940054252,Direct Broker (Life & General),RASIKLAL PRABHUDAS RAJANI,13-Jan-2021,12-Jan-2024,po_int@intactinsurance.co.in
286,512,,Elite Insurance Brokers Pvt. Ltd. ,"S-8, DDA Shopping Complex,  Mayur Vihar Phase-1, DELHI EAST EAST DELHI 110091",9871195530,Direct Broker (Life & General),DINESH CHANDRA JOSHI,13-Jan-2021,12-Jan-2024,po-elite@insuranceelite.in
287,513,,Apna Insurance Broking Consultants India Pvt. Ltd.,Apna Insurance Broking Consultants India Pvt Ltd #57 B1st Floor MG Complex  KH Road BANGALORE BANGALORE 560027,9854025122,Direct Broker (Life & General),BHARATHI PALEM,16-Jan-2021,15-Jan-2024,bharathi@apnainsurance.in
288,515,,Teamsec Insurance Broking Pvt. Ltd.,"SUKRUTHI,4TH FLOOR,3RD MAIN ROAD NO 45/22 4TH FLOOR  R A PURAM CHENNAI 600028 CHENNAI CHENNAI 600028",8148722936,Direct Broker (Life & General),ADITYA S JENA,19-Feb-2021,18-Feb-2024,adityajena.po@gmail.com
289,516,,Newgen Insurance Broking Pvt. Ltd.,"108 & 109 First Floor, Rafael Tower  8/2 Old Palasia INDORE INDORE 452001",7314226300,Direct Broker (Life & General),Anish Mishra,26-Feb-2021,25-Feb-2024,anish_mishra@newgenbroking.com
290,517,,Intl Risk Consultants Insurance Brokers Pvt. Ltd.,"B-106, JOY VALENCIA JOGESHWARI VIKHROLI LINK ROAD  JOGESHWARI EAST JOGESHWARI EAST MUMBAI 400060",9967362774,Direct Broker (General),SURESH KHAIRWAR,16-Mar-2021,15-Mar-2024,po_intl@ircindia.co.in
291,518,,Catalyst Insurance Brokers Pvt. Ltd.,"House N0. 492A, 3rd Floor Rishi Nagar, Rani Bagh Shakur Basti  West Delhi DL 110034 IN NEW DELHI WEST DELHI 110034",7926442355,Direct Broker (Life & General),Neeraj Kapoor,16-Mar-2021,15-Mar-2024,neeraj.kapoor@catalystib.com
292,519,,RISK MANAGERS INSURANCE BROKING PRIVATE LIMITED,"E-4 FIRST FLOOR, J BLOCK MARKET,  SAKET NEW DELHI SOUTH DELHI 110017",9811201104,Direct Broker (General),Manu Sardana,30-Mar-2021,29-Mar-2024,manu@riskmanagers.in
293,520,,Advance Life Insurance Brokers Pvt Ltd,"328,Shankar Marg,Gali no.5 Mandawli  Fazalpur DELHI EAST EAST DELHI 110092",9811364833,Direct Broker (Life & General),SURENDER KUMAR TONK,31-Mar-2021,30-Mar-2024,surender.tonk@advancelifeinsurance.in
